Country,Yield Int 2040,Food Self Sufficiency in 2040,Change in Food Self Sufficiency in 2040,Code,ISO,Legend - Change in Self-Sufficiency,Legend - Self-Sufficiency,Legend - Yield Intensity,yield int category
Afghanistan,0.298,0.514542936,-0.012415355,21.71,AFG,Between -0.03 and -0.01,Between 0.5 and 0.75,Less than 0.3,1
Albania,0.669,0.939086294,-0.006434287,13.4,ALB,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Algeria,0.33,0.457010341,-0.004613164,227.8,DZA,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.3 and 0.4,2
Angola,0.147,0.34319107,-0.009763178,131.4,AGO,Between -0.01 and 0.01,Between 0.25 and 0.5,Less than 0.3,1
Argentina,0.74,1.428784019,-0.004099488,536.2,ARG,Between -0.01 and 0.01,Between 1.25 and 1.5,Between 0.7 and 0.8,6
Armenia,0.65,0.940260833,-0.005645903,10.88,ARM,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Australia,0.476,1.362768103,0.014103876,1483,AUS,Between 0.01 and 0.03,Between 1.25 and 1.5,Between 0.4 and 0.5,3
Austria,0.732,0.730250118,0.001297826,436.1,AUT,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.7 and 0.8,6
Azerbaijan,0.578,0.912044271,0.004386613,77.91,AZE,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Bahamas,0.577,1.125736739,-0.029138978,8.65,BHM,Between -0.03 and -0.01,Between 1.05 and 1.25,Between 0.5 and 0.6,4
Bahrain,0.551,0.245388485,-0.001443471,34.05,BHR,Between -0.01 and 0.01,Less than 0.25,Between 0.5 and 0.6,4
Bangladesh,0.823,0.636070267,-0.000345806,186.6,BGD,Between -0.01 and 0.01,Between 0.5 and 0.75,Greater than 0.8,7
Barbados,0.493,0.548106904,0.000623316,4.28,BRB,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.4 and 0.5,3
Belarus,0.442,1.387766149,0.003056889,75.25,BLR,Between -0.01 and 0.01,Between 1.25 and 1.5,Between 0.4 and 0.5,3
Belgium,0.773,0.695676644,0.004714471,527.8,BEL,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.7 and 0.8,6
Belize,0.6,0.867392044,-0.075206144,1.67,BLZ,Less than -0.03,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Benin,0.431,0.498190892,-0.009642493,9.24,BEN,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.4 and 0.5,3
Bhutan,0.371,0.761609907,-0.016663902,2.09,BTN,Between -0.03 and -0.01,Between 0.75 and 0.95,Between 0.3 and 0.4,2
Bolivia,0.473,0.925471023,-0.028185782,34.08,BOL,Between -0.03 and -0.01,Between 0.75 and 0.95,Between 0.4 and 0.5,3
Bosnia and Herzegovina,0.383,0.618171886,-0.009286169,19.55,BIH,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Botswana,0.321,0.291116006,-0.008811896,16.3,BWA,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.3 and 0.4,2
Brazil,0.723,1.159547935,-0.005595365,2244,BRA,Between -0.01 and 0.01,Between 1.05 and 1.25,Between 0.7 and 0.8,6
Brunei Darussalam,0.208,0.292473118,0.002773547,17.43,BRN,Between -0.01 and 0.01,Between 0.25 and 0.5,Less than 0.3,1
Bulgaria,0.475,1.870545233,-0.001685419,55.08,BGR,Between -0.01 and 0.01,Greater than 1.75,Between 0.4 and 0.5,3
Burkina Faso,0.58,0.572631579,-0.011068691,13.38,BFA,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.5 and 0.6,4
Burundi,0.264,0.565388397,0.001088594,3.04,BDI,Between -0.01 and 0.01,Between 0.5 and 0.75,Less than 0.3,1
Cabo Verde,0.428,0.22754159,-0.00711545,1.98,CPV,Between -0.01 and 0.01,Less than 0.25,Between 0.4 and 0.5,3
Cambodia,0.551,0.971286848,-0.038996144,16.9,KHM,Less than -0.03,Between 0.95 and 1.05,Between 0.5 and 0.6,4
Cameroon,0.725,0.521048489,-0.014108616,32.16,CMR,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.7 and 0.8,6
Canada,0.881,1.481538926,-0.002295509,1794,CAN,Between -0.01 and 0.01,Between 1.25 and 1.5,Greater than 0.8,7
Central African Republic,0.318,0.495446266,-0.012409708,1.73,CAF,Between -0.03 and -0.01,Between 0.25 and 0.5,Between 0.3 and 0.4,2
Chad,0.367,0.542140992,-0.020465099,15.84,TCD,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Chile,0.834,0.856514266,0.000864453,264.1,CHL,Between -0.01 and 0.01,Between 0.75 and 0.95,Greater than 0.8,7
China,0.841,0.950977499,0.001327149,10360,CHN,Between -0.01 and 0.01,Between 0.95 and 1.05,Greater than 0.8,7
Colombia,0.58,0.693275563,0.001179755,400.1,COL,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.5 and 0.6,4
Comoros,0.384,0.593164278,-0.002280408,0.72,COM,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Congo,0.244,0.659542163,-0.051083914,32.67,COD,Less than -0.03,Between 0.5 and 0.75,Less than 0.3,1
Democratic Republic of Congo,0.214,0.705178869,-0.013313325,14.11,COG,Between -0.03 and -0.01,Between 0.5 and 0.75,Less than 0.3,1
